'famid' 'e1' 'e2' 'e3' 'e4' 'e5' 'e6' 'e7' 'e8' 'e9' 'e10' 'e11' 'e12' 'e13' 'e14' 'e15' 'e16' 'e17' 'e18' 'a1' 'a2' 'a3' 'a4' 'a5' 'a6' 'a7' 'a8' 'a9' 'a10' 'a11' 'a12' 'a13' 'a14' 'a15' 'a16' 'a17' 'a18'
4939546 0.335 0.543 NA 0.327 NA NA NA NA 0.877 NA NA NA NA NA NA NA NA NA 29.914 29.914 NA 54.14 NA NA NA NA 40.217 NA NA NA NA NA NA NA NA NA
4939601 0.334 -0.405 NA NA -0.712 NA NA NA -1.808 NA NA NA NA NA NA NA NA NA 66.124 66.124 NA NA 64.097 NA NA NA 71.791 NA NA NA NA NA NA NA NA NA
4939881 1.752 1.672 NA NA NA 0.153 -1.388 1.014 NA NA NA NA NA NA NA NA 1.679 NA 52.72 52.72 NA NA NA 48.772 55.839 57.253 NA NA NA NA NA NA NA NA 32.885 NA
4940201 -0.344 -0.149 NA -1.183 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20.888 20.888 NA 36.653 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4940592 0.812 0.067 NA NA NA NA NA NA NA 1.211 NA NA NA NA NA NA NA NA 32.329 32.329 NA NA NA NA NA NA NA 39.063 NA NA NA NA NA NA NA NA
4941767 0.997 0.822 NA 1.186 NA NA NA NA NA 0.042 NA 0.347 NA NA NA NA NA NA 48.501 48.501 NA 74.79 NA NA NA NA NA 53.826 NA 27.132 NA NA NA NA NA NA
4942087 -0.258 -1.116 NA -1.157 NA NA NA NA NA 0.909 NA NA NA NA NA NA NA NA 28.474 28.474 NA 56.556 NA NA NA NA NA 37.783 NA NA NA NA NA NA NA NA
4942119 -1.417 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 62.546 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4942176 -1.272 -0.414 NA NA -1.335 -0.853 NA NA NA NA NA NA NA NA NA NA NA NA 28.234 28.234 NA NA 30.084 22.327 NA NA NA NA NA NA NA NA NA NA NA NA
4942423 -1.23 -0.68 NA -1.296 -1.373 NA NA NA NA NA NA NA NA NA NA NA NA NA 24.118 24.118 NA 55.174 22.037 NA NA NA NA NA NA NA NA NA NA NA NA NA
4942526 -0.466 -0.397 NA -1.224 NA NA -0.706 NA NA NA NA NA NA NA NA NA NA NA 63.019 63.019 NA 83.447 NA NA 67.576 NA NA NA NA NA NA NA NA NA NA NA
4942604 -0.926 -1.43 NA 0.28 NA NA NA NA NA NA NA NA NA NA NA NA 1.06 0.733 54.157 54.157 NA 71.62 NA NA NA NA NA NA NA NA NA NA NA NA 31.187 34.031
4942700 1.121 2.544 NA NA NA NA NA NA NA NA NA NA NA NA -0.823 NA NA NA 72.312 72.312 NA NA NA NA NA NA NA NA NA NA NA NA 37.849 NA NA NA
4942740 -0.369 0.074 NA NA 0.014 NA NA NA NA NA NA NA 0.527 NA -0.709 NA NA -0.449 48.055 48.055 NA NA 49.856 NA NA NA NA NA NA NA 20.6 NA 16.108 NA NA 29.657
4942761 0.091 -0.277 NA -0.097 NA NA NA NA NA 0.172 NA NA NA NA NA NA NA NA 49.792 49.792 NA 64.226 NA NA NA NA NA 43.033 NA NA NA NA NA NA NA NA
4942926 2.197 1.429 1.146 NA NA NA NA NA NA 0.013 NA NA NA NA NA NA NA NA 27.281 27.281 49.776 NA NA NA NA NA NA 35.301 NA NA NA NA NA NA NA NA
4943126 1.286 -0.069 1.628 0.824 NA NA NA NA NA NA NA NA NA NA NA NA 1.8 NA 48.449 48.449 67.161 65.349 NA NA NA NA NA NA NA NA NA NA NA NA 28.736 NA
4943307 -0.458 -0.253 0.578 -0.191 NA NA NA NA -0.767 -0.226 NA NA NA -1.332 NA NA -0.786 NA 43.707 43.707 65.096 55.641 NA NA NA NA 45.474 46.316 NA NA NA 25.456 NA NA 17.865 NA
4943580 -0.244 1.26 1.623 -0.257 NA NA -1.25 NA -2.245 NA NA NA NA NA NA NA NA NA 26.571 26.571 57.679 56.237 NA NA 29.488 NA 34.912 NA NA NA NA NA NA NA NA NA
4943661 0.328 0.304 NA NA NA NA 1.293 -0.684 NA NA NA NA 0.373 NA NA NA NA NA 43.033 43.033 NA NA NA NA 44.582 47.249 NA NA NA NA 15.979 NA NA NA NA NA
4943935 1.279 1.671 1.188 1.552 2.733 NA NA NA NA NA NA NA NA NA NA NA NA NA 22.959 22.959 52.864 51.95 26.507 NA NA NA NA NA NA NA NA NA NA NA NA NA
4944219 -0.834 0.795 NA -0.87 -2.159 NA NA NA NA NA NA NA NA -0.385 NA NA NA NA 54.513 54.513 NA 72.465 57.232 NA NA NA NA NA NA NA NA 34.18 NA NA NA NA
4944493 0.192 -0.553 NA NA NA NA NA NA NA 0.866 NA NA 1.103 NA NA NA NA NA 53.197 53.197 NA NA NA NA NA NA NA 58.78 NA NA 29.891 NA NA NA NA NA
4944543 -0.103 0.133 -0.25 0.512 NA NA NA 0.938 -2.223 NA NA NA NA NA NA NA NA NA 26.649 26.649 59.825 59.216 NA NA NA 25.528 33.732 NA NA NA NA NA NA NA NA NA
4944700 1.126 0.441 NA NA NA NA 0.238 NA NA 1.532 NA NA NA NA NA NA NA NA 28.186 28.186 NA NA NA NA 34.506 NA NA 32.263 NA NA NA NA NA NA NA NA
4944857 0.428 -0.426 NA -0.021 NA NA 1.026 NA NA NA NA NA NA NA NA NA NA NA 28.729 28.729 NA 53.54 NA NA 23.649 NA NA NA NA NA NA NA NA NA NA NA
4944900 -2.036 -2.783 -1.118 -2.831 NA NA NA NA NA -0.19 NA NA NA -0.751 NA NA NA NA 39.103 39.103 62.571 56.472 NA NA NA NA NA 44.025 NA NA NA 15.043 NA NA NA NA
4944963 NA -2.35 NA NA NA NA -1.277 NA NA NA NA NA NA NA NA NA NA NA NA 77.164 NA NA NA NA 74.34 NA NA NA NA NA NA NA NA NA NA NA
4945174 1.021 1.201 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 36.331 36.331 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4945965 -1.173 -1.495 NA NA 0.42 NA NA NA NA NA NA NA NA NA NA NA NA NA 24.725 24.725 NA NA 25.73 NA NA NA NA NA NA NA NA NA NA NA NA NA
4946111 -2.332 -2.237 -1.307 -3.362 NA NA -2.59 -1.284 NA NA NA NA NA NA NA NA NA NA 55.706 55.706 86.804 81.768 NA NA 53.504 58.519 NA NA NA NA NA NA NA NA NA NA
4946379 0.314 -1.069 NA NA -1.268 NA NA NA -1.61 NA NA NA NA NA NA NA NA NA 27.516 27.516 NA NA 23.105 NA NA NA 28.563 NA NA NA NA NA NA NA NA NA
4946416 1.525 0.862 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21.852 21.852 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4946539 -1.281 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 75.847 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4946616 1.742 1.108 NA NA NA NA NA NA 0.902 NA NA NA NA NA NA NA NA NA 26.221 26.221 NA NA NA NA NA NA 33.807 NA NA NA NA NA NA NA NA NA
4946702 0.795 -0.142 NA NA NA NA NA NA NA 2.539 NA NA NA NA NA NA NA NA 64.982 64.982 NA NA NA NA NA NA NA 73.378 NA NA NA NA NA NA NA NA
4946778 0.896 0.983 NA NA 0.499 NA NA NA NA NA NA NA NA NA NA NA 2.484 NA 32.608 32.608 NA NA 26.31 NA NA NA NA NA NA NA NA NA NA NA 15.574 NA
4946841 -0.378 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 79.467 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4947146 0.833 0.532 -0.766 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 44.294 44.294 66.727 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4947327 0.549 1.291 NA 0.563 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 40.652 40.652 NA 63.65 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4947491 0.881 0.671 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 72.88 72.88 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4948658 1.358 0.531 NA 0.985 1.596 NA NA NA -0.892 NA NA NA NA NA NA NA NA NA 34.384 34.384 NA 72.183 40.984 NA NA NA 37.562 NA NA NA NA NA NA NA NA NA
4948767 -0.329 -1.086 NA NA NA NA NA -0.472 NA NA NA NA 0.869 NA NA NA NA NA 61.153 61.153 NA NA NA NA NA 52.548 NA NA NA NA 37.377 NA NA NA NA NA
4948874 0.566 1.015 NA -0.364 1.757 NA NA 0.98 NA -0.38 NA NA NA NA NA NA NA NA 18.787 18.787 NA 36.739 16.388 NA NA 17.609 NA 21.533 NA NA NA NA NA NA NA NA
4948889 -0.747 -0.954 NA NA NA NA NA NA 1.409 NA NA NA NA NA NA NA NA NA 26.308 26.308 NA NA NA NA NA NA 25.627 NA NA NA NA NA NA NA NA NA
4949560 -0.736 0.04 NA NA NA NA NA NA NA NA -0.772 NA NA NA NA NA NA NA 71.081 71.081 NA NA NA NA NA NA NA NA 51.605 NA NA NA NA NA NA NA
4950108 0.284 0.192 2.234 -1.202 NA NA NA NA 1.303 NA NA NA NA NA NA NA NA NA 41.634 41.634 74.847 71.007 NA NA NA NA 44.125 NA NA NA NA NA NA NA NA NA
4950649 1.323 2.08 0.954 NA NA NA NA NA -0.885 0.648 NA NA NA NA NA NA NA NA 27.91 27.91 53.881 NA NA NA NA NA 33.119 26.66 NA NA NA NA NA NA NA NA
4950773 -1.829 -1.031 NA NA NA NA NA NA -0.705 NA NA NA NA NA NA NA 0.589 NA 69.644 69.644 NA NA NA NA NA NA 75.294 NA NA NA NA NA NA NA 48.91 NA
4950900 -0.166 NA NA NA NA NA NA NA NA NA NA 0.345 NA NA NA NA NA NA 69.936 NA NA NA NA NA NA NA NA NA NA 49.492 NA NA NA NA NA NA
4950972 -0.782 0.01 NA NA -2.28 NA NA NA NA NA NA NA NA NA NA NA NA NA 28.853 28.853 NA NA 27.608 NA NA NA NA NA NA NA NA NA NA NA NA NA
4951099 2.29 1.883 NA NA 2.632 NA NA NA NA 2.114 NA NA NA NA NA NA NA NA 31.29 31.29 NA NA 29.691 NA NA NA NA 35.055 NA NA NA NA NA NA NA NA
4951380 0.882 -0.035 NA 0.153 NA NA NA NA NA -2.268 -0.056 NA NA NA NA NA NA NA 47.036 47.036 NA 71.591 NA NA NA NA NA 42.446 15.6 NA NA NA NA NA NA NA
4951829 -0.41 -0.915 NA NA 0.659 NA NA NA NA NA NA NA NA NA NA NA NA NA 70.021 70.021 NA NA 72.253 NA NA NA NA NA NA NA NA NA NA NA NA NA
4951959 1.084 0.935 NA 0.984 1.574 NA 1.008 NA NA 0.311 NA NA NA NA NA NA NA NA 34.534 34.534 NA 65.885 35.758 NA 39.176 NA NA 39.412 NA NA NA NA NA NA NA NA
4952245 -0.378 0.413 2.531 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 48.858 48.858 77.805 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4952300 0.306 -1.126 0.619 NA NA NA NA NA NA -0.154 NA NA NA NA NA NA NA NA 41.007 41.007 76.277 NA NA NA NA NA NA 41.424 NA NA NA NA NA NA NA NA
4952335 -0.64 -0.49 0.541 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 22.767 22.767 53.151 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4952533 1.349 0.594 0.062 0.287 NA NA NA NA 0.31 NA NA NA NA NA NA NA NA NA 37.127 37.127 65.436 67.345 NA NA NA NA 34.182 NA NA NA NA NA NA NA NA NA
4952555 NA -0.593 NA NA -1.178 -0.54 -0.206 NA NA -1.27 NA NA NA NA -1.873 NA NA NA NA 59.263 NA NA 53.05 57.776 64.584 NA NA 67.547 NA NA NA NA 37.468 NA NA NA
4952561 -1.836 -1.083 -0.761 NA NA -2.513 NA NA NA NA NA NA NA NA NA NA NA NA 20.102 20.102 45.993 NA NA 17.743 NA NA NA NA NA NA NA NA NA NA NA NA
4952854 0.533 -0.118 NA -0.974 -0.616 NA NA NA NA 0.759 NA NA NA NA NA NA NA NA 22.522 22.522 NA 41.72 26.158 NA NA NA NA 24.398 NA NA NA NA NA NA NA NA
4953210 1.141 1.456 1.817 NA NA NA -0.156 NA -0.844 2.357 NA NA NA NA 0.729 NA NA NA 50.791 50.791 83.636 NA NA NA 45.795 NA 56.381 53.503 NA NA NA NA 33.341 NA NA NA
4953511 -1.032 -1.535 NA -0.557 NA NA NA -2.311 1.532 0.425 NA NA NA NA NA NA NA NA 32.255 32.255 NA 69.18 NA NA NA 28.955 43.692 36.47 NA NA NA NA NA NA NA NA
4953803 1.153 0.524 NA NA -0.117 NA NA NA -1.86 NA NA NA NA NA NA NA NA NA 46.581 46.581 NA NA 43.243 NA NA NA 49.215 NA NA NA NA NA NA NA NA NA
4953917 0.18 0.021 -0.693 NA NA NA NA NA NA NA NA NA NA NA -0.771 NA NA NA 61.45 61.45 84.947 NA NA NA NA NA NA NA NA NA NA NA 40.922 NA NA NA
4953999 -0.428 -1.011 -0.293 0.22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 33.114 33.114 58.923 55.364 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4954720 -0.385 -0.591 NA 0.328 NA NA -0.824 NA NA NA NA NA NA NA NA NA -0.5 NA 51.665 51.665 NA 71.405 NA NA 47.104 NA NA NA NA NA NA NA NA NA 14.479 NA
4954839 -0.939 -0.704 -0.915 NA -0.251 NA -0.196 NA NA NA NA NA NA NA NA NA NA NA 40.358 40.358 79.769 NA 41.529 NA 33.219 NA NA NA NA NA NA NA NA NA NA NA
4954865 -0.556 -0.72 NA -0.738 NA NA 0.791 NA NA NA NA NA NA NA NA NA NA NA 40.679 40.679 NA 69.625 NA NA 42.34 NA NA NA NA NA NA NA NA NA NA NA
4955560 0.335 0.621 NA 0.719 0.969 NA NA NA NA NA NA NA NA NA NA NA NA NA 46.177 46.177 NA 73.517 48.056 NA NA NA NA NA NA NA NA NA NA NA NA NA
4955859 0.785 1.106 NA NA NA 1.987 NA NA 0.385 NA NA NA NA NA 0.684 NA 0.806 NA 52.372 52.372 NA NA NA 56.274 NA NA 56.519 NA NA NA NA NA 25.519 NA 17.962 NA
4956798 2.704 2.117 NA NA 1.111 NA NA NA NA -0.444 1.067 NA NA NA NA NA NA NA 58.246 58.246 NA NA 52.128 NA NA NA NA 61.175 32.332 NA NA NA NA NA NA NA
4956827 -0.525 -0.822 NA NA NA NA NA NA NA NA NA NA -1.148 NA NA NA NA NA 58.795 58.795 NA NA NA NA NA NA NA NA NA NA 29.094 NA NA NA NA NA
4957086 NA 1.222 0.874 -0.189 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 43.747 76.601 76.314 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4957401 -0.345 -0.048 NA -1.7 NA NA NA NA -0.85 0.806 NA NA NA NA -2.145 0.2 NA NA 39.679 39.679 NA 73.015 NA NA NA NA 37.601 42.231 NA NA NA NA 18.421 19.93 NA NA
4957507 -0.634 -0.265 NA NA -1.026 NA NA 1.357 NA NA NA NA NA NA NA 0.125 NA NA 65.071 65.071 NA NA 67.487 NA NA 61.775 NA NA NA NA NA NA NA 25.15 NA NA
4957961 1.44 2.216 NA 0.742 0.149 NA NA NA 1.503 0.323 NA NA NA NA NA NA 1.889 NA 40.266 40.266 NA 61.754 38.032 NA NA NA 43.352 52.09 NA NA NA NA NA NA 23.456 NA
4958126 1.779 1.607 NA NA NA NA NA NA -0.817 NA NA NA NA NA NA NA NA NA 19.41 19.41 NA NA NA NA NA NA 26.949 NA NA NA NA NA NA NA NA NA
4958681 -0.046 0.063 NA 0.273 NA NA NA NA -2.078 1.388 NA NA -0.717 NA NA NA 0.872 NA 63.229 63.229 NA 81.866 NA NA NA NA 67.672 60.681 NA NA 33.37 NA NA NA 38.209 NA
4959027 -0.663 -0.104 NA NA NA NA NA NA NA 1.269 NA NA NA NA NA NA NA NA 50.634 50.634 NA NA NA NA NA NA NA 56.469 NA NA NA NA NA NA NA NA
4959029 0.598 0.473 NA NA NA NA 0.28 NA 0.055 1.251 NA NA NA NA NA NA NA NA 53.128 53.128 NA NA NA NA 60.354 NA 57.898 50.579 NA NA NA NA NA NA NA NA
4959038 -0.851 -1.613 NA NA NA NA 0.698 NA NA NA NA NA NA NA NA NA NA NA 48.779 48.779 NA NA NA NA 49.869 NA NA NA NA NA NA NA NA NA NA NA
4959134 -2.16 -2.664 NA -1.68 NA -1.174 NA NA NA NA NA NA NA NA NA NA NA NA 45.387 45.387 NA 56.652 NA 42.929 NA NA NA NA NA NA NA NA NA NA NA NA
4959181 -0.554 -0.424 0.262 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 22.307 22.307 60.95 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4959215 2.121 1.496 NA NA NA NA NA NA -1.958 NA NA NA NA NA 0.738 NA NA NA 78.938 78.938 NA NA NA NA NA NA 78.467 NA NA NA NA NA 55.208 NA NA NA
4960267 -0.289 -1.187 -0.301 -1.15 -0.633 -1.24 NA NA NA -0.214 NA NA NA NA NA NA NA NA 33.865 33.865 56.217 50.124 28.738 29.735 NA NA NA 35.585 NA NA NA NA NA NA NA NA
4960475 -0.577 1.024 NA NA NA NA NA NA NA NA NA -1.185 NA NA NA NA NA NA 77.774 77.774 NA NA NA NA NA NA NA NA NA 59.448 NA NA NA NA NA NA
4961001 0.5 -0.285 1.173 0.037 0.225 NA NA NA NA NA NA NA NA NA NA NA NA NA 32.622 32.622 57.556 50.469 31.529 NA NA NA NA NA NA NA NA NA NA NA NA NA
4961500 2.12 1.167 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 65.011 65.011 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4961803 0.622 0.678 NA NA -0.632 NA NA NA NA NA NA NA NA NA NA NA NA NA 71.15 71.15 NA NA 69.467 NA NA NA NA NA NA NA NA NA NA NA NA NA
4962279 0.638 1.077 NA 0.769 0.316 -0.455 NA NA NA NA NA NA NA NA NA NA NA NA 24.574 24.574 NA 45.378 21.052 27.337 NA NA NA NA NA NA NA NA NA NA NA NA
4962416 0.784 0.225 NA NA 0.15 NA NA NA -0.826 NA NA NA NA 0.393 NA NA 0.975 0.971 68.073 68.073 NA NA 72.534 NA NA NA 70.131 NA NA NA NA 44.635 NA NA 48.42 24.43
4962570 -1.112 -1.504 -0.232 -1.908 0.692 NA 0.575 -1.023 NA -0.686 NA NA NA NA NA NA NA NA 27.882 27.882 56.593 55.814 32.193 NA 23.832 29.297 NA 24.888 NA NA NA NA NA NA NA NA
4962617 -0.647 -2.527 NA NA -1.661 NA NA NA -0.519 NA NA NA NA NA NA NA NA NA 50.628 50.628 NA NA 46.303 NA NA NA 46.008 NA NA NA NA NA NA NA NA NA
4962708 0.08 -0.398 NA NA 1.12 NA NA NA NA NA NA NA NA NA NA NA NA NA 33.312 33.312 NA NA 35.897 NA NA NA NA NA NA NA NA NA NA NA NA NA
4962853 0.289 -0.507 NA NA NA NA NA NA -2.809 NA NA NA NA NA 0.601 NA NA NA 67.242 67.242 NA NA NA NA NA NA 64.796 NA NA NA NA NA 39.098 NA NA NA
4963097 -0.825 -1.191 -1.598 1.506 -1.918 -2.633 NA NA NA NA NA NA NA NA NA NA NA -2.495 38.942 38.942 62.82 57.933 40.489 42.713 NA NA NA NA NA NA NA NA NA NA NA 14.846
4963106 -0.962 -0.069 NA NA NA NA -0.801 NA -0.678 -1.493 NA NA NA NA NA NA NA NA 42.862 42.862 NA NA NA NA 35.651 NA 42.316 51.927 NA NA NA NA NA NA NA NA
4963273 -1.891 -0.988 NA -1.307 -1.322 NA NA NA NA 1.691 NA NA NA NA NA NA NA NA 30.695 30.695 NA 66.301 28.494 NA NA NA NA 33.829 NA NA NA NA NA NA NA NA
4963927 0.234 0.329 NA 1.627 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 36.041 36.041 NA 63.86 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4964404 -0.517 -0.304 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 52.509 52.509 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4965136 0.602 0.388 -0.664 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 28.091 28.091 60.838 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4965727 2.724 1.169 1.68 1.494 NA NA NA NA -0.919 NA NA NA NA NA NA NA NA NA 22.791 22.791 50.012 53.488 NA NA NA NA 32.391 NA NA NA NA NA NA NA NA NA
4965755 0.905 NA NA NA NA NA 1.041 -0.02 NA NA NA NA NA NA NA NA NA NA 75.985 NA NA NA NA NA 79.118 74.452 NA NA NA NA NA NA NA NA NA NA
4965772 -1.283 -1.705 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 32.576 32.576 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4965954 1.946 1.795 2.183 NA 0.325 NA NA NA NA NA NA NA NA NA NA NA NA NA 20.185 20.185 50.54 NA 15.89 NA NA NA NA NA NA NA NA NA NA NA NA NA
4966078 -0.723 -0.511 NA 0.114 NA NA NA NA -1.284 NA NA NA NA NA NA NA NA NA 57.195 57.195 NA 76.855 NA NA NA NA 59.807 NA NA NA NA NA NA NA NA NA
4966328 -1.273 -1.805 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 65.214 65.214 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4966711 -0.721 -0.142 1.671 NA NA NA -0.152 NA NA NA NA NA NA NA NA NA NA NA 19 19 47.159 NA NA NA 14.042 NA NA NA NA NA NA NA NA NA NA NA
4966728 NA -0.578 NA NA NA NA NA NA NA NA NA NA NA NA 1.46 NA NA NA NA 76.933 NA NA NA NA NA NA NA NA NA NA NA NA 46.652 NA NA NA
4966887 1.324 1.15 -0.584 1.101 0.377 NA NA NA NA NA NA NA NA NA NA NA NA NA 21.34 21.34 48.418 42.679 23.972 NA NA NA NA NA NA NA NA NA NA NA NA NA
4967176 0.824 1.317 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 46.516 46.516 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4967199 -0.404 0.1 NA NA NA 0.358 NA NA NA NA 0.724 NA NA NA -0.701 NA NA NA 61.335 61.335 NA NA NA 68.952 NA NA NA NA 38.233 NA NA NA 40.401 NA NA NA
4967232 0.277 -0.813 NA -1.548 0.617 NA NA NA NA -2.081 NA NA NA NA NA NA NA NA 40.15 40.15 NA 77.492 37.497 NA NA NA NA 43.678 NA NA NA NA NA NA NA NA
4967364 1.785 1.784 NA NA NA NA NA NA NA 0.654 NA NA NA NA NA NA NA NA 71.039 71.039 NA NA NA NA NA NA NA 75.126 NA NA NA NA NA NA NA NA
4967385 NA -1.089 NA NA NA NA NA NA NA NA NA NA NA NA -1.108 NA NA NA NA 73.14 NA NA NA NA NA NA NA NA NA NA NA NA 40.655 NA NA NA
4967498 -0.038 -0.494 NA NA NA NA NA -0.698 0.063 NA NA NA NA NA NA NA NA NA 45.806 45.806 NA NA NA NA NA 46.816 49.865 NA NA NA NA NA NA NA NA NA
4968622 1.192 0.996 1.693 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 27.907 27.907 50.67 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
4968722 NA -1.591 NA NA NA NA NA NA NA NA NA NA NA NA NA NA -2.343 NA NA 68.638 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 39.821 NA
